Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
Barcelona,14,11,1,2,39,16,23,34
Real Madrid,14,10,3,1,29,13,16,33
Villarreal,14,10,2,2,29,13,16,32
Ath Madrid,14,9,4,1,27,11,16,31
Betis,14,6,6,2,22,14,8,24
Espanol,14,7,3,4,18,16,2,24
Getafe,14,6,2,6,13,15,-2,20
Ath Bilbao,14,6,2,6,14,17,-3,20
Sociedad,14,4,4,6,19,21,-2,16
Elche,14,3,7,4,15,17,-2,16
Vallecano,13,4,4,5,12,14,-2,16
Celta,14,3,7,4,16,19,-3,16
Sevilla,14,5,1,8,19,23,-4,16
Alaves,14,4,3,7,12,15,-3,15
Mallorca,14,3,4,7,15,22,-7,13
Valencia,13,3,4,6,12,21,-9,13
Osasuna,14,3,3,8,12,18,-6,12
Girona,14,2,6,6,13,26,-13,12
Levante,14,2,3,9,16,26,-10,9
Oviedo,14,2,3,9,7,22,-15,9
